"sub","pred","obj"
"http://vi.dbpedia.org/resource/Big_C","http://xmlns.com/foaf/0.1/homepage","[http://www.bigc.co.th bigc.co.th TH]<br />[http://www.bigc.vn bigc.vn VN]"
"http://vi.dbpedia.org/resource/Big_C","http://xmlns.com/foaf/0.1/name","BiG C Supercenter PLC"
"http://vi.dbpedia.org/resource/C%C3%A1c_d%C3%A2n_t%E1%BB%99c_t%E1%BA%A1i_Vi%E1%BB%87t_Nam","http://www.w3.org/2000/01/rdf-schema#label","Các dân tộc tại Việt Nam"
"http://vi.dbpedia.org/resource/C%C3%A1c_d%C3%A2n_t%E1%BB%99c_t%E1%BA%A1i_Vi%E1%BB%87t_Nam","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/List_of_ethnic_groups_in_Vietnam"
"http://vi.dbpedia.org/resource/C%C3%A1t_Ti%C3%AAn_Sa","http://www.w3.org/2000/01/rdf-schema#label","Cát Tiên Sa"
"http://vi.dbpedia.org/resource/C%C3%B4ng_ty_%C4%90%E1%BA%A7u_t%C6%B0_T%C3%A0i_ch%C3%ADnh_Nh%C3%A0_n%C6%B0%E1%BB%9Bc_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh","http://www.w3.org/2000/01/rdf-schema#label","Công ty Đầu tư Tài chính Nhà nước Thành phố Hồ Chí Minh"
"http://vi.dbpedia.org/resource/C%C3%B4ng_ty_%C4%90o_%C4%91%E1%BA%A1c_%E1%BA%A3nh_%C4%91%E1%BB%8Ba_h%C3%ACnh","http://www.w3.org/2000/01/rdf-schema#label","Công ty Đo đạc ảnh địa hình"
"http://vi.dbpedia.org/resource/C%C3%B4ng_ty_C%E1%BB%95_ph%E1%BA%A7n_Ch%E1%BB%A9ng_kho%C3%A1n_VNDIRECT","http://www.w3.org/2000/01/rdf-schema#label","Công ty Cổ phần Chứng khoán VNDIRECT"
"http://vi.dbpedia.org/resource/C%C3%B4ng_ty_C%E1%BB%95_ph%E1%BA%A7n_H%C3%A0ng_kh%C3%B4ng_H%E1%BA%A3i_%C3%82u","http://www.w3.org/2000/01/rdf-schema#label","Công ty Cổ phần Hàng không Hải Âu"
"http://vi.dbpedia.org/resource/C%C3%B4ng_ty_C%E1%BB%95_ph%E1%BA%A7n_truy%E1%BB%81n_th%C3%B4ng_Sunrise","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Company"
"http://vi.dbpedia.org/resource/C%C3%B4ng_ty_C%E1%BB%95_ph%E1%BA%A7n_truy%E1%BB%81n_th%C3%B4ng_Sunrise","http://www.w3.org/2000/01/rdf-schema#label","Công ty Cổ phần truyền thông Sunrise"
"http://vi.dbpedia.org/resource/C%C3%B4ng_ty_Gi%E1%BA%A5y_B%C3%A3i_B%E1%BA%B1ng","http://www.w3.org/2000/01/rdf-schema#label","Công ty Giấy Bãi Bằng"
